r2CAVeT7nISRY0iBmaz7ucXoGzmhTsfY,Cosa c’è nel primo cerchio?,"Nel primo cerchio (nel dominio) ci sono5 elementi: mario, luisa, luigi, anna, marta.figure{insiemi/esempio2.svg} element{#insieme-dominio--fill--#04ed00}","["" Cosa c e nel""]",2024- 4-22 18:41:56,typeEsempio2
Q54NGxv95KzZBHT-s63jnkinv4BbR0oC,Dal primo cerchio partono frecce da tutti gli elementi?,Non da tutti gli elementi del primo cerchio parte una freccia.figure{insiemi/esempio2.svg} element{#insieme-dominio--fill--#04ed00},"["" Dal"",""partono frecce da"",""gli""]",2024- 4-23 18:3:44,typeEsempio2
qhYIqK4G7DkbFllkqZkjUsxx_VKr3AwR,Dal primo cerchio partono frecce da tutti gli elementi?,Da tutti gli elementi del primo cerchio (nel dominio) parte almeno una freccia.figure{insiemi/esempio2.svg} element{#insieme-dominio--fill--#04ed00},"["" Dal"",""partono frecce da"",""gli""]",2024- 4-23 18:10:36,typeEsempio2
qhYIqK4G7DkbFllkqZkjUsxx_VKr3AwR,Dal dominio partono frecce da tutti gli elementi?,Da tutti gli elementi del primo cerchio (nel dominio) parte almeno una freccia.figure{insiemi/esempio2.svg} element{#insieme-dominio--fill--#04ed00},"["" Dal"",""partono frecce da"",""gli""]",2024- 4-23 18:10:45,typeEsempio2
qhYIqK4G7DkbFllkqZkjUsxx_VKr3AwR,Da ogni elemento del primo cerchio (o dominio) parte almeno una freccia?,Da tutti gli elementi del primo cerchio (nel dominio) parte almeno una freccia.figure{insiemi/esempio2.svg} element{#insieme-dominio--fill--#04ed00},"["" Da"",""del primo cerchio o dominio parte""]",2024- 4-23 18:10:51,typeEsempio2
qhYIqK4G7DkbFllkqZkjUsxx_VKr3AwR,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del secondo cerchio o"",""arriva almeno una freccia""]",2024- 4-23 18:10:59,typeEsempio2
qhYIqK4G7DkbFllkqZkjUsxx_VKr3AwR,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del secondo cerchio o"",""arriva almeno una freccia""]",2024- 4-23 18:11:46,typeEsempio2
DFqbmdh9hoA-dFji9wQrlHHsBk-hwWVX,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del secondo cerchio o"",""arriva almeno una freccia""]",2024- 4-23 18:15:8,typeEsempio2
-ETdYf-Kgh-zJcfqo3zzcE9Er9ue3dSU,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del secondo cerchio o"",""arriva almeno una freccia""]",2024- 4-23 18:15:35,typeEsempio2
Rgo6r3sbnQFrAvTKcRPzVLn1wWtcLGuI,Ci sono elementi del secondo cerchio ( o codominio) a cui arriva più di una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" Ci sono elementi del"",""o codominio a cui arriva piu di una freccia""]",2024- 4-23 18:17:32,typeEsempio2
Rgo6r3sbnQFrAvTKcRPzVLn1wWtcLGuI,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del"",""o codominio arriva almeno una freccia""]",2024- 4-23 18:17:41,typeEsempio2
Rgo6r3sbnQFrAvTKcRPzVLn1wWtcLGuI,A tutti gli elementi del secondo insieme (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del"",""o codominio arriva almeno una freccia""]",2024- 4-23 18:18:24,typeEsempio2
XAeVX6jxHD8f181wFn3GlPVy2c2Vzmzj,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del"",""o codominio arriva almeno una freccia""]",2024- 4-23 18:18:37,typeEsempio2
XAeVX6jxHD8f181wFn3GlPVy2c2Vzmzj,* TUTTI * ELEMENTI * SECONDO CERCHIO * ARRIVA * ALMENO * FRECCIA *,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" TUTTI ELEMENTI"",""ARRIVA ALMENO FRECCIA""]",2024- 4-23 18:19:13,typeEsempio2
OiVrJBLyEvU4AqWiTdbSvC7O8GPzoeQX,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,"L'insieme B è composto da 4 elementi: 27, 42, 34, 30.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00}","["" A tutti gli elementi del"",""o codominio arriva almeno una freccia""]",2024- 4-23 18:19:46,typeEsempio2
REsLV4cgs_NkjaM-RQAsLovjhPUal_Cs,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia asd,dasdasdsad,"["" A tutti gli elementi del secondo cerchio o codominio arriva almeno una freccia asd ""]",2024- 4-23 18:22:25,typeEsempio2
REsLV4cgs_NkjaM-RQAsLovjhPUal_Cs,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,dasdasdsad,"["" A tutti gli elementi del secondo cerchio o codominio arriva almeno una freccia ""]",2024- 4-23 18:22:59,typeEsempio2
REsLV4cgs_NkjaM-RQAsLovjhPUal_Cs,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,dasdasdsad,"["" A tutti gli elementi del secondo cerchio o codominio arriva almeno una freccia ""]",2024- 4-23 18:23:34,typeEsempio2
wNDMM3dLsF9woFOKRLdOXvydhL_FRoqh,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,Non ad ogni elemento del secondo cerchio (nel codominio) arriva una freccia.,"["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:23:56,typeEsempio2
Njeplzeag2QJ_NwM25M_o6v2sRf7ZHld,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,Non ad ogni elemento del secondo cerchio (nel codominio) arriva una freccia.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00},"["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:24:6,typeEsempio2
3KQRktOYBLbfuQnxqiWSkaL_doDmsKax,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,dasdasdsad,"["" A tutti gli elementi del secondo cerchio o codominio arriva almeno una freccia ""]",2024- 4-23 18:24:19,typeEsempio2
cLae7xfCkI4EkC61AHpaTT8BerGmhZqi,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,Non ad ogni elemento del secondo cerchio (nel codominio) arriva una freccia.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00},"["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:25:22,typeEsempio2
NxRNklMMusChQFAIaJlPtCcPMEaf4fiU,A tutti gli elementi del secondo cerchio (o codominio) arriva almeno una freccia?,Ad ogni elemento del secondo cerchio (nel codominio) arriva almeno una freccia.figure{insiemi/esempio2.svg} element{#insieme-codominio--fill--#04ed00},"["" A"",""gli"",""del"",""o codominio"",""almeno una""]",2024- 4-23 18:26:55,typeEsempio2
